id,prompt_en,prompt_zh,prompt_ms,prompt_ta,explanationYes_en,explanationYes_zh,explanationYes_ms,explanationYes_ta,explanationNo_en,explanationNo_zh,explanationNo_ms,explanationNo_ta
1,"I've seen blood in my stool or had a big change in bowel habits, but I haven't seen a doctor.",我发现大便带血或排便习惯有很大变化，但我还没有去看医生。,"Saya melihat darah dalam najis atau perubahan besar dalam tabiat usus, tetapi saya belum berjumpa doktor.",மலத்தில் இரத்தம் அல்லது குடல் பழக்கங்களில் பெரிய மாற்றத்தைக் கண்டேன்- ஆனால் மருத்துவரை சந்திக்கவில்லை.,These are potential warning signs. You must see a doctor to get them checked out.,这些是潜在的警告信号。您必须去看医生进行检查。,Ini adalah tanda amaran yang berpotensi. Anda mesti berjumpa doktor untuk memeriksanya.,இவை சாத்தியமான எச்சரிக்கை அறிகுறிகள். நீங்கள் மருத்துவரிடம் பரிசோதிக்க வேண்டும்.,"Good to hear! If you ever notice blood in your stool or changes in bowel habits, see a doctor promptly.",很好！如果您发现大便带血或排便习惯改变，请及时就医。,"Bagus! Jika anda perasan darah dalam najis atau perubahan tabiat usus, jumpa doktor dengan segera.","நல்லது! மலத்தில் இரத்தம் அல்லது குடல் பழக்கங்களில் மாற்றங்களை கவனித்தால், உடனடியாக மருத்துவரை சந்திக்கவும்."
2,"A doctor told me I had colon polyps in the past, but I've missed my follow-up appointment.",医生曾告诉我过去有结肠息肉，但我错过了复诊预约。,"Doktor memberitahu saya pernah mempunyai polip kolon, tetapi saya terlepas temu janji susulan.",மருத்துவர் முன்பு பெருங்குடல் பாலிப்கள் இருந்ததாகக் கூறினார்- ஆனால் தொடர்ந்து சந்திப்பை தவறவிட்டேன்.,Past polyps increase your risk. Regular follow-ups are critical for prevention.,过去的息肉会增加您的风险。定期随访对于预防至关重要。,Polip yang lalu meningkatkan risiko anda. Susulan berkala adalah penting untuk pencegahan.,கடந்த கால பாலிப்கள் உங்கள் ஆபத்தை அதிகரிக்கின்றன. தொடர் பின்தொடர்தல் தடுப்புக்கு முக்கியம்.,"That's great! If you ever have polyps found, keeping follow-up appointments is key to prevention.",太好了！如果曾发现息肉，按时复诊是预防的关键。,"Bagus! Jika anda pernah mempunyai polip, menjaga temu janji susulan adalah kunci pencegahan.","நல்லது! பாலிப்கள் கண்டறியப்பட்டால், தொடர் சந்திப்புகளை கடைபிடிப்பது தடுப்புக்கு முக்கியம்."
3,"I have been diagnosed with Inflammatory Bowel Disease (IBD), like Crohn's or colitis.",我被诊断出患有炎症性肠病（IBD），如克罗恩病或结肠炎。,"Saya telah didiagnosis dengan Penyakit Radang Usus (IBD), seperti Crohn atau kolitis.",குரோன் அல்லது கோலிடிஸ் போன்ற அழற்சி குடல் நோய் (IBD) இருப்பதாக கண்டறியப்பட்டது.,IBD significantly increases your risk. Regular screening is essential.,IBD会显著增加您的风险。定期筛查至关重要。,IBD meningkatkan risiko anda dengan ketara. Saringan berkala adalah penting.,IBD உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கிறது. வழக்கமான பரிசோதனை அவசியம்.,Good to know! Maintaining a healthy gut through a balanced diet helps protect your colon.,很好！通过均衡饮食保持肠道健康有助于保护您的结肠。,Bagus! Mengekalkan usus yang sihat melalui diet seimbang membantu melindungi kolon anda.,நல்லது! சமச்சீர் உணவு மூலம் ஆரோக்கியமான குடலை பராமரிப்பது உங்கள் பெருங்குடலை பாதுகாக்க உதவுகிறது.
4,I was given a take-home screening kit (like a FIT kit) but I haven't sent it back.,我收到了一个家用筛查套件（如FIT套件），但我还没有寄回。,Saya diberi kit saringan bawa pulang (seperti kit FIT) tetapi saya belum menghantarnya kembali.,வீட்டில் செய்யக்கூடிய பரிசோதனை கிட் (FIT கிட் போன்றது) கொடுக்கப்பட்டது- ஆனால் திருப்பி அனுப்பவில்லை.,The best test is the one that gets done! Screening is the #1 way to catch CRC early.,最好的检查就是完成的检查！筛查是早期发现CRC的首要方法。,Ujian terbaik adalah yang dilakukan! Saringan adalah cara #1 untuk mengesan CRC awal.,சிறந்த சோதனை செய்யப்படுவதுதான்! CRC-ஐ ஆரம்பத்தில் கண்டறிய பரிசோதனை முதல் வழி.,Well done on completing your screening! Regular screening is the best way to catch CRC early.,完成筛查做得好！定期筛查是早期发现CRC的最佳方法。,Tahniah kerana menyelesaikan saringan anda! Saringan berkala adalah cara terbaik untuk mengesan CRC awal.,பரிசோதனையை முடித்ததற்கு நல்லது! CRC-ஐ ஆரம்பத்தில் கண்டறிய வழக்கமான பரிசோதனை சிறந்த வழி.
5,I am 45 or older and have *not* had my first colorectal cancer screening.,我已经45岁或以上，但还没有进行第一次结直肠癌筛查。,Saya berumur 45 tahun atau lebih dan *belum* menjalani saringan kanser kolorektal pertama.,நான் 45 வயது அல்லது அதற்கு மேல் இருக்கிறேன் மற்றும் முதல் பெருங்குடல் புற்றுநோய் பரிசோதனை செய்யவில்லை.,Screening is recommended to start at age 45. It's the most effective way to prevent CRC.,建议从45岁开始筛查。这是预防CRC最有效的方法。,Saringan disyorkan bermula pada umur 45 tahun. Ini adalah cara paling berkesan untuk mencegah CRC.,45 வயதில் பரிசோதனை தொடங்க பரிந்துரைக்கப்படுகிறது. CRC-ஐ தடுக்க மிகவும் பயனுள்ள வழி இது.,Great that you've been screened! Continue with regular screenings as recommended by your doctor.,已经做了筛查，很好！请按照医生建议继续定期筛查。,Bagus kerana anda telah disaring! Teruskan saringan berkala seperti yang disyorkan oleh doktor anda.,பரிசோதனை செய்ததற்கு நல்லது! உங்கள் மருத்துவர் பரிந்துரைப்படி தொடர்ந்து வழக்கமான பரிசோதனைகளை செய்யுங்கள்.
6,I am a current smoker.,我目前是吸烟者。,Saya seorang perokok semasa.,நான் தற்போது புகைபிடிப்பவன்.,"Smoking increases the risk of many cancers, including colorectal cancer.",吸烟会增加许多癌症的风险，包括结直肠癌。,"Merokok meningkatkan risiko banyak kanser, termasuk kanser kolorektal.",புகைபிடித்தல் பெருங்குடல் புற்றுநோய் உட்பட பல புற்றுநோய்களின் ஆபத்தை அதிகரிக்கிறது.,Excellent! Staying smoke-free is one of the best things you can do to lower your cancer risk.,太好了！不吸烟是降低癌症风险最好的方法之一。,Bagus! Kekal bebas rokok adalah salah satu perkara terbaik untuk mengurangkan risiko kanser anda.,மிகச்சிறப்பு! புகைபிடிக்காமல் இருப்பது உங்கள் புற்றுநோய் ஆபத்தை குறைக்க சிறந்த வழிகளில் ஒன்று.
7,I drink more than one alcoholic beverage per day on average.,我平均每天喝超过一杯酒精饮料。,Saya minum lebih daripada satu minuman beralkohol sehari secara purata.,சராசரியாக நாளொன்றுக்கு ஒன்றுக்கு மேற்பட்ட மது பானங்கள் குடிக்கிறேன்.,Heavy or regular alcohol use is a known risk factor for CRC.,大量或经常饮酒是CRC的已知风险因素。,Penggunaan alkohol berat atau kerap adalah faktor risiko yang diketahui untuk CRC.,அதிக அல்லது வழக்கமான மது பயன்பாடு CRC-க்கான அறியப்பட்ட ஆபத்து காரணி.,Good choice! Limiting alcohol intake helps reduce your risk of colorectal and other cancers.,好选择！限制饮酒有助于降低结直肠癌和其他癌症的风险。,Pilihan yang baik! Mengehadkan pengambilan alkohol membantu mengurangkan risiko kanser kolorektal dan lain-lain.,நல்ல தேர்வு! மது அருந்துவதை கட்டுப்படுத்துவது பெருங்குடல் புற்றுநோய் மற்றும் பிற புற்றுநோய்களின் ஆபத்தை குறைக்க உதவுகிறது.
8,"I eat processed meats (like hot dogs, bacon, or ham) most weeks.",我大多数星期都吃加工肉类（如热狗、培根或火腿）。,"Saya makan daging proses (seperti hot dog, bacon, atau ham) kebanyakan minggu.",பெரும்பாலான வாரங்களில் பதப்படுத்தப்பட்ட இறைச்சிகள் (ஹாட் டாக்- பேகன் அல்லது ஹாம் போன்றவை) சாப்பிடுகிறேன்.,Processed meats are strongly linked to an increased risk of colorectal cancer.,加工肉类与结直肠癌风险增加密切相关。,Daging proses sangat dikaitkan dengan peningkatan risiko kanser kolorektal.,பதப்படுத்தப்பட்ட இறைச்சிகள் பெருங்குடல் புற்றுநோய் ஆபத்து அதிகரிப்புடன் வலுவாக தொடர்புடையவை.,Great! Choosing fresh foods over processed meats helps protect your colon health.,很好！选择新鲜食物而非加工肉类有助于保护您的结肠健康。,Bagus! Memilih makanan segar berbanding daging proses membantu melindungi kesihatan kolon anda.,நல்லது! பதப்படுத்தப்பட்ட இறைச்சிகளை விட புதிய உணவுகளை தேர்ந்தெடுப்பது உங்கள் பெருங்குடல் ஆரோக்கியத்தை பாதுகாக்க உதவுகிறது.
9,I eat red meat (like beef or lamb) more than 3 times per week.,我每周吃红肉（如牛肉或羊肉）超过3次。,Saya makan daging merah (seperti daging lembu atau kambing) lebih daripada 3 kali seminggu.,வாரத்திற்கு 3 முறைக்கு மேல் சிவப்பு இறைச்சி (மாட்டிறைச்சி அல்லது ஆட்டிறைச்சி போன்றவை) சாப்பிடுகிறேன்.,High red meat consumption can increase your risk. Try swapping in fish or chicken.,大量食用红肉会增加您的风险。尝试用鱼或鸡肉替代。,Pengambilan daging merah yang tinggi boleh meningkatkan risiko anda. Cuba ganti dengan ikan atau ayam.,அதிக சிவப்பு இறைச்சி நுகர்வு உங்கள் ஆபத்தை அதிகரிக்கலாம். மீன் அல்லது கோழியை மாற்றி முயற்சிக்கவும்.,"Well done! Eating more fish, chicken, and plant-based proteins is great for your colon health.",做得好！多吃鱼、鸡肉和植物蛋白对结肠健康有益。,"Tahniah! Makan lebih banyak ikan, ayam, dan protein berasaskan tumbuhan bagus untuk kesihatan kolon anda.","நல்லது! மீன், கோழி மற்றும் தாவர புரதங்களை அதிகம் சாப்பிடுவது உங்கள் பெருங்குடல் ஆரோக்கியத்திற்கு நல்லது."
10,I am mostly sedentary and get less than 30 minutes of intentional exercise most days.,我大部分时间久坐不动，大多数日子有意识的运动时间少于30分钟。,Saya kebanyakannya tidak aktif dan mendapat kurang daripada 30 minit senaman yang disengajakan kebanyakan hari.,நான் பெரும்பாலும் உட்கார்ந்தே இருக்கிறேன் மற்றும் பெரும்பாலான நாட்களில் 30 நிமிடங்களுக்கும் குறைவான உடற்பயிற்சி செய்கிறேன்.,A sedentary lifestyle is a key risk factor. Regular activity helps keep your colon healthy.,久坐的生活方式是一个关键的风险因素。定期活动有助于保持结肠健康。,Gaya hidup tidak aktif adalah faktor risiko utama. Aktiviti tetap membantu mengekalkan kesihatan kolon anda.,உட்கார்ந்த வாழ்க்கை முறை முக்கிய ஆபத்து காரணி. வழக்கமான செயல்பாடு உங்கள் பெருங்குடலை ஆரோக்கியமாக வைத்திருக்க உதவுகிறது.,Fantastic! Regular physical activity lowers your colorectal cancer risk. Keep moving!,太好了！定期运动可降低结直肠癌风险。继续保持！,Hebat! Aktiviti fizikal yang kerap mengurangkan risiko kanser kolorektal anda. Teruskan bergerak!,அருமை! வழக்கமான உடல் செயல்பாடு உங்கள் பெருங்குடல் புற்றுநோய் ஆபத்தை குறைக்கிறது. தொடர்ந்து இயங்குங்கள்!
